"RIV_ONRW.OTRW" "RIV_National.Wild.Scenic" "RIV_State.Wild.Scenic" "RIV_Eligible.Study.Wild.Scenic" "RIV_ScenicRiverways.NationalRivers" "RIP_Conservation.Area" "RIP_Conservation.Easement" "RIP_Local.Conservation.Area" "RIP_NWFP.Key.Watersheds" "RIP_NWFP.Riparian.Reserves" "RIP_Private.Conservation" "RIP_State.Conservation.Area" "RIP_State.Riparian.Buffers" "RIP_Watershed.Protection.Area" "RIP_Other" "CRI_CriticalHabitat" "INC1_National.Park" "INC1_Research.Natural.Area" "INC1_State.Wilderness" "INC1_Wilderness.Area" "INC1_Wilderness.Study.Area" "INC2_Conservation.Area" "INC2_Conservation.Easement" "INC2_Historic.Or.Cultural.Area" "INC2_Local.Conservation.Area" "INC2_Local.Park" "INC2_National.Lakeshore.Or.Seashore" "INC2_National.Monument" "INC2_National.Recreation.Area" "INC2_National.Wildlife.Refuge" "INC2_Private.Conservation" "INC2_Private.Recreation.Or.Education" "INC2_Recreation.Management.Area" "INC2_Research.Or.Educational.Area" "INC2_Resource.Management.Area" "INC2_State.Conservation.Area" "INC2_State.Park" "INC2_State.Recreation.Area" "INC2_State.Resource.Management.Area" "INC2_Other" "MULT1_Area.Of.Critical.Environmental.Concern" "MULT1_Inventoried.Roadless.Area" "MULT2_Conservation.Area" "MULT2_Conservation.Easement" "MULT2_Forest.Stewardship.Easement" "MULT2_Local.Conservation.Area" "MULT2_Local.Park" "MULT2_Local.Recreation.Area" "MULT2_Local.Resource.Management.Area" "MULT2_Mitigation.Land.Or.Bank" "MULT2_National.Forest" "MULT2_National.Grassland" "MULT2_National.Recreation.Area" "MULT2_National.River" "MULT2_National.River.And.Recreation.Area" "MULT2_National.Scenic.Area" "MULT2_National.Wildlife.Refuge" "MULT2_Private.Conservation" "MULT2_Ranch.Easement" "MULT2_Recreation.Management.Area" "MULT2_Resource.Management.Area" "MULT2_Special.Designation.Area" "MULT2_State.Conservation.Area" "MULT2_State.Park" "MULT2_State.Recreation.Area" "MULT2_State.Resource.Management.Area" "MULT2_Watershed.Protection.Area" "MULT2_Other"
"RIV_ONRW.OTRW" 99.9998796454844 18.1512912876244 33.3801427053287 11.0813355544289 8.00735933201433 0 8.14210134471831 2.95374707259953 2.19116147344559 1.11618477781741 20.0975783706681 3.98654897860705 33.1211068014469 34.8858906272427 0 10.6965606091381 7.58976896842574 0.149955591244783 80.32117500516 20.6967123719252 10.4766094724218 0.261462470081453 3.40262894560434 3.71585247905984 10.9548256332063 0 24.1309415222459 0.180506159145844 0 3.15085456615634 17.2118715900191 0.631120783460283 3.91781389090156 0 0 14.634921759393 6.12828428918956 0.403284724860458 14.3870246027215 26.490573497072 0.34977622250844 1.91570582943689 10.7570128181312 12.7248551972853 16.5778785434111 28.5832630521901 2.78241107464826 0.556961426578057 23.2935574717649 3.57250800942997 21.5438230008701 1.04984505298917 7.3253401409326 62.6851466301826 56.4218429559595 0 0 14.0133904541863 6.92538280806935 0.176217542283572 1.9832678131071 59.0118556963314 10.479717749245 6.61334945104246 0.0585245495521708 8.6300264134212 65.8323657947949 3.8961038961039
"RIV_National.Wild.Scenic" 18.1512912876244 100 0 0 0 0 0.121887744681412 0 8.15352022404153 4.52573478934648 2.55616429474503 0 39.3857378350327 0 0 11.9214237743452 14.6345930765004 0.104786412137582 0.00938179729255764 29.080499419989 2.03504487453446 10.1310214298797 0.985747733918839 0 1.5349613619563 0 0 1.52854264607119 0 15.1571524513096 3.84330922880313 0 3.2739881999793 0 0.0251493241119145 2.35823310336406 1.11420785718276 0.0750070623532735 0.567854476310548 5.12959897210348 1.91757738567678 4.55754319555528 0.0928850083596508 1.75700164120083 0.52473085375692 1.70526052019889 1.92985930368526 0 0.365821792526783 0 16.4867208010257 0.0457161443040033 4.21268010976298 0 0 1.57915515199368 0 1.25216800078064 0.878230576035 0 0.00523289660450422 0.396885971607388 0.430904256199444 2.92891591789938 0.0529336345320227 0.895292752915318 0.187724218902877 0
"RIV_State.Wild.Scenic" 33.3801427053287 0 100 17.2195233034765 5.33081088844372 0 3.99857687822426 0.117096018735363 2.60685069476237 1.30822073781691 0.176678445229682 1.15308830625704 34.5054273569151 0 44.9786324786325 12.0658873538789 0.584370730226203 0.207291552603083 17.0714070242238 1.68331562167906 0.983755882799453 0.0304387429785942 2.6612779434767 0.415495720724831 4.06852764134706 17.3946671307307 0 0.403825717321998 0 1.05624715348414 3.18803537189535 0 0 12.4081353614767 0 6.34234097464703 1.12109230178019 0.0324705897633219 3.03045177758086 0.0296508611104247 3.18980567785031 6.22984666767876 0 2.41699735381353 3.54271566472863 1.61961414249837 5.69763494398552 0.0449353167939834 2.73979231387123 0 10.7623349020799 2.40054931651654 0.0984807197697655 0 4.84549341304877 0 0 3.32715328513106 0.0275459774771125 19.1507005511117 0.0218037358521009 0 0.995090170064008 5.56434829206286 0.169007135266434 1.12038864429938 0.183158306698845 0
"RIV_Eligible.Study.Wild.Scenic" 11.0813355544289 0 17.2195233034765 100 12.0428584517174 0 0.953359819210826 1.27927400468384 13.2779965080337 10.1463370732191 0.157227607222745 0.0497627473057745 34.3609038893315 0 0 18.2331969290939 16.5899724777287 0.542942657955251 0.00837144989182066 27.0233758238575 5.22528958706842 12.9215615267618 1.44582292992393 7.50812058614208 1.41027469972376 1.49660653170137 2.5336981858721 2.42180050943816 0.369594252291254 3.84549503874846 2.1268959341137 0.431907591864066 0.238070593106304 0 0 2.54845368291446 0.74222212942643 0.317562367885288 1.00240007647176 7.12856119196462 4.04650268602718 8.78507278916492 0.913988482258963 0.802541000725823 0.545247169443904 2.75321314166995 4.84468711101052 2.40640446515148 0 0 22.1036249728399 0.291463006965839 18.5000334643223 0 0.330216552539191 0 0 0.288017526574732 1.08563558292149 0 2.6236435350833 7.90108380399939 0.400922618509254 2.66845706167516 0.455934505708638 0.976262040993699 0.679538190594221 0.527458889233633
"RIV_ScenicRiverways.NationalRivers" 8.00735933201433 0 5.33081088844372 12.0428584517174 95.7590115911955 0 0.00791282061418246 0 0 0 0 0 43.1074259423882 0 0 0.990758739206767 0.214260067699912 0 0 1.60662488454615 0 0 0.989537961722559 0 0 0 0 0 0 0 0.301380989052622 0 0.670510299140876 0 0 0.969213130910433 0.0741529463328389 0.216578833721357 0 0 0 0 0 0.00581664566004938 0.118340890755835 0 0 0 0 0 0.275145416141501 0 0.0315520752660414 0.0864513314694744 0 0 0 0 0 0 0 0 0 0 0.0369155187313819 0 0 2.80887372013652
"RIP_Conservation.Area" 0 0 0 0 0 88.4787037454365 0 0 0 22.2262135484743 0 0 34.2505070536801 0 0 9.87564790192455 0 0.833821607247487 0 10.3723351512147 0 1.46225267048272 0 0 0.434488664533285 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.32960742777302 0 0.268760986163068 0.616577274980845 0 0.113039167079822 0 0 0 46.2682652003425 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.480957317348 0 0
"RIP_Conservation.Easement" 8.14210134471831 0.121887744681412 3.99857687822426 0.953359819210826 0.00791282061418246 0 77.2933870957115 0.0192622950819672 0.0144288735595833 0.00197655802186073 0 0.393117624967881 25.4733658806554 0 0 5.45323793146614 0 0.00408488657851218 0.000579790353079148 0.0118593481311644 0 0 5.3746895156774 0.0243775489362824 1.968203769955 0 0 0 0 1.53833534283399 2.49805967887521 0 0.0109098437014802 0 0.0178245834643194 7.19213461677834 0.462988951040658 0.00355780443934932 0.0508700149559557 0 0 0.00614709544798688 0.541203789708341 0.140190671963842 0.0440508897805362 0.00422324564004243 0.00851237654748022 0 0.00540022646110966 0 0.656559866648219 0 0 0 0 0 0 0.0220913301576634 0 0 0.212611757884819 0 0.619446695524414 0.000388723077632611 0.0160760052444673 0.931670389184274 0.42606025866556 0
"RIP_Local.Conservation.Area" 2.95374707259953 0 0.117096018735363 1.27927400468384 0 0 0.0192622950819672 85.1245316159251 0.120023419203747 0.0146370023419204 0 0.12057962529274 58.9083138173302 0 0 8.85005854800937 0 0 0 0 0 0 1.50576697892272 0 1.87722482435597 0 0 0.19268149882904 0 0.000439110070257611 0.287353629976581 0 0 0 0 1.53703161592506 0 0 0 0 0 0 0 0.622745901639344 0.455620608899297 0.0660421545667447 0.157786885245902 0.204537470725995 1.80070257611241 0 0.936387587822014 0 0 0 0 0 0 0.00120023419203747 0 0 0 0 0.0903981264637002 0.0905737704918033 0 1.81908665105386 0.0901639344262295 0
"RIP_NWFP.Key.Watersheds" 2.19116147344559 8.15352022404153 2.60685069476237 13.2779965080337 0 0 0.0144288735595833 0.120023419203747 99.19413564363 80.4292655820312 0 0 15.2395109984308 0 0 12.0166926090924 0.871676869985824 0.229096982574899 0.13452053964098 31.0586688220455 0.23243361001746 0.816854893962308 0.0142570731260676 0 0.0317311807437847 0 0 0.788129840525121 0 0.00827905420125218 0.238722834490647 0.0411818866661086 0 0 0 0.332401089897609 0 0 0 0.177905166662548 0.832472760453008 18.0357778149637 0 0.206135099571468 0.0751105794642112 0 0.152191543133039 0.112503843152094 0 0 66.8981059398157 0 0.0956123492910344 0 0 0 0 0 0 0 0.0499305551013111 0 0 0.0822501651234376 0.00993031853930988 0.564203872735826 0 0
"RIP_NWFP.Riparian.Reserves" 1.11618477781741 4.52573478934648 1.30822073781691 10.1463370732191 0 22.2262135484743 0.00197655802186073 0.0146370023419204 80.4292655820312 97.3824458577135 0 0 0 0 0 6.95953460658937 6.87241655219713 0.458747510879131 0 30.4129814700582 0.855557175975652 0.468567025283152 0.0808495011221109 0 0.0180564072825904 0 35.2761731022601 2.74908572175591 3.90015198268319 0.845825786883663 0.131766495312814 0.102117686448481 0 0 0 0.126042953833137 0.000479653926870269 0 0 0.834054013985323 0.646649770502529 16.8770179978308 1.3310421697938 0.165195375963197 0.0299120928032937 0.0686293026552247 0.0625306476556901 0 0.0047808456483659 0 63.7164597674872 0 10.8480719769765 0 0 0.0236873272799052 0 0 0.0781819654865106 0 0.0436074717042018 0.424647636493156 0.000192436698910077 0.00467330483655895 0.000894734663873413 0.0704452454575136 0 1.05992642170117
