"","RIP_Class","State","OverallProtection_Len_m","Total_Length_m","IN"
"1","Class 3","Colorado",41435.67,101709.5,"Wyoming"
"2","Class 4","Colorado",436710.01,640491.41,"Wyoming"
"3","Unprotected","Colorado",0,1285243.83,"Wyoming"
"4","Class 2","Utah",278263.26,278263.26,"Wyoming"
"5","Class 3","Utah",85397.5,98747.56,"Wyoming"
"6","Class 4","Utah",462074.97,533172.16,"Wyoming"
"7","Unprotected","Utah",0,107595.62,"Wyoming"
"8","Class 2","Wyoming",1724079.82,1938428.79,"Wyoming"
"9","Class 3","Wyoming",660254.34,940720.48,"Wyoming"
"10","Class 4","Wyoming",4849668.27,9134822.02,"Wyoming"
"11","Unprotected","Wyoming",0,24770888.39,"Wyoming"
"12","Unprotected","Arizona",0,360245.98,"Colorado"
"13","Class 3","New Mexico",49699.78,49793.7,"Colorado"
"14","Class 4","New Mexico",551625.76,657932.62,"Colorado"
"15","Unprotected","New Mexico",0,126934.13,"Colorado"
"16","Class 2","Utah",333216.7,368505.68,"Colorado"
"17","Class 3","Utah",277891.03,358057.13,"Colorado"
"18","Class 4","Utah",1455584.76,1729965.05,"Colorado"
"19","Unprotected","Utah",0,1308632.16,"Colorado"
"20","Class 2","Wyoming",1652953.63,1814136.95,"Colorado"
"21","Class 3","Wyoming",571831.5,800653.98,"Colorado"
"22","Class 4","Wyoming",4559116.22,8229919.08,"Colorado"
"23","Unprotected","Wyoming",0,20988667.48,"Colorado"
"24","Class 1","Colorado",10961,10961,"Colorado"
"25","Class 2","Colorado",7901482,8518067.53,"Colorado"
"26","Class 3","Colorado",3577499.87,4671928.37,"Colorado"
"27","Class 4","Colorado",17888345.79,24233234.15,"Colorado"
"28","Unprotected","Colorado",0,30982950.46,"Colorado"
"29","Class 1","Arizona",29425.41,29425.41,"New Mexico"
"30","Class 2","Arizona",107226.2,151463.85,"New Mexico"
"31","Class 3","Arizona",83143.41,90423.65,"New Mexico"
"32","Class 4","Arizona",652090.07,772032.61,"New Mexico"
"33","Unprotected","Arizona",0,1997988.1,"New Mexico"
"34","Class 1","Colorado",6087.84,6087.84,"New Mexico"
"35","Class 2","Colorado",1265049.3,1324681.09,"New Mexico"
"36","Class 3","Colorado",150930.41,165850.06,"New Mexico"
"37","Class 4","Colorado",1768399.17,2366240.24,"New Mexico"
