"","RIP_Class","State","OverallProtection_Len_m","Total_Length_m","IN"
"1","Class 1","New Hampshire",24881.02,24881.02,"Maine"
"2","Class 2","New Hampshire",525835.02,525835.02,"Maine"
"3","Class 3","New Hampshire",28772.9,65962.74,"Maine"
"4","Class 4","New Hampshire",193315.53,369021.89,"Maine"
"5","Unprotected","New Hampshire",0,382078.54,"Maine"
"6","Class 1","Maine",79184.56,79184.56,"Maine"
"7","Class 2","Maine",90416.2,100768.01,"Maine"
"8","Class 3","Maine",15394127.42,15462518.78,"Maine"
"9","Class 4","Maine",25014048.87,25494892.74,"Maine"
"10","Unprotected","Maine",0,2516761.95,"Maine"
"11","Class 3","Maine",12579.14,12585.58,"New Hampshire"
"12","Class 4","Maine",997960.49,1008656.47,"New Hampshire"
"13","Unprotected","Maine",0,3344.82,"New Hampshire"
"14","Class 1","Massachusetts",90005.8,90005.8,"New Hampshire"
"15","Class 2","Massachusetts",426014,426014,"New Hampshire"
"16","Class 3","Massachusetts",48580.45,50782.05,"New Hampshire"
"17","Class 4","Massachusetts",1511085.22,1544975.45,"New Hampshire"
"18","Unprotected","Massachusetts",0,11842.1,"New Hampshire"
"19","Class 1","Vermont",124860.11,124860.11,"New Hampshire"
"20","Class 2","Vermont",182163.47,182476.1,"New Hampshire"
"21","Class 3","Vermont",215431.59,261628.3,"New Hampshire"
"22","Class 4","Vermont",581275.13,1309610.79,"New Hampshire"
"23","Unprotected","Vermont",0,3128039.69,"New Hampshire"
"24","Class 1","New Hampshire",33690.72,33690.72,"New Hampshire"
"25","Class 2","New Hampshire",3477010.05,3482684.69,"New Hampshire"
"26","Class 3","New Hampshire",501329.73,963639.65,"New Hampshire"
"27","Class 4","New Hampshire",2620854.57,5591576.56,"New Hampshire"
"28","Unprotected","New Hampshire",0,5788969.73,"New Hampshire"
"29","Class 1","Connecticut",241.22,241.22,"Massachusetts"
"30","Class 2","Connecticut",3935.93,3935.93,"Massachusetts"
"31","Class 3","Connecticut",60941.45,91139.81,"Massachusetts"
"32","Class 4","Connecticut",96986.7,198935.08,"Massachusetts"
"33","Unprotected","Connecticut",0,211116.76,"Massachusetts"
"34","Class 1","New Hampshire",8809.7,8809.7,"Massachusetts"
"35","Class 2","New Hampshire",1103484.68,1103484.68,"Massachusetts"
"36","Class 3","New Hampshire",135298.44,306065.16,"Massachusetts"
"37","Class 4","New Hampshire",811311.36,1940513.1,"Massachusetts"
"38","Unprotected","New Hampshire",0,2135808.95,"Massachusetts"
"39","Class 3","New York",3078.64,12658.99,"Massachusetts"
"40","Class 4","New York",2982.66,10516.02,"Massachusetts"
"41","Unprotected","New York",0,5149.53,"Massachusetts"
"42","Class 2","Rhode Island",18446.84,18446.84,"Massachusetts"
"43","Class 3","Rhode Island",1540.61,2541.81,"Massachusetts"
"44","Class 4","Rhode Island",143535.89,151560.74,"Massachusetts"
"45","Unprotected","Rhode Island",0,5120.76,"Massachusetts"
"46","Class 1","Vermont",481.31,481.31,"Massachusetts"
"47","Class 2","Vermont",24237.02,24237.02,"Massachusetts"
"48","Class 3","Vermont",32535.01,38025.61,"Massachusetts"
"49","Class 4","Vermont",107447.62,188561.37,"Massachusetts"
"50","Unprotected","Vermont",0,240712.94,"Massachusetts"
"51","Class 1","Massachusetts",209417.45,209417.45,"Massachusetts"
"52","Class 2","Massachusetts",1770908.42,1770908.42,"Massachusetts"
"53","Class 3","Massachusetts",396796.58,452846.72,"Massachusetts"
"54","Class 4","Massachusetts",9059824.86,9634993.43,"Massachusetts"
"55","Unprotected","Massachusetts",0,409686.3,"Massachusetts"
"56","Class 2","Massachusetts",10194.5,10194.5,"Vermont"
"57","Class 3","Massachusetts",5675.38,5675.38,"Vermont"
"58","Class 4","Massachusetts",186414.88,191886.11,"Vermont"
"59","Unprotected","Massachusetts",0,1734.82,"Vermont"
"60","Class 2","New Hampshire",1019655.28,1019655.28,"Vermont"
"61","Class 3","New Hampshire",70875.71,138467.62,"Vermont"
"62","Class 4","New Hampshire",604991.29,1319095.99,"Vermont"
"63","Unprotected","New Hampshire",0,1711079.64,"Vermont"
"64","Class 1","New York",1949744.81,1949744.81,"Vermont"
"65","Class 2","New York",41366.95,55874.41,"Vermont"
"66","Class 3","New York",17899.94,90373.18,"Vermont"
"67","Class 4","New York",25857.68,81992.99,"Vermont"
"68","Unprotected","New York",0,632139.24,"Vermont"
