"","Label","Category","RiverKM","Percent","RiverMI","cols"
"1","ONRW/OTRW","River conservation system",111676.7952,1.59,69392.7219102192,"#628dbd"
"2","Eligible Wild & Scenic Rivers","River conservation system",49753.04224,0.71,30915.097609711,"#628dbd"
"3","National Wild & Scenic Rivers","River conservation system",23427.11797,0.33,14556.9317201369,"#628dbd"
"4","State Wild & Scenic Rivers","River conservation system",20569.61703,0.29,12781.3635035481,"#628dbd"
"5","Scenic Riverways, National Rivers & Recreation Areas","River conservation system",2607.158,0.04,1620.012373618,"#628dbd"
"6","Riparian Buffers","Riparian & floodplain protection",997332.78427,14.16,619713.669494634,"chartreuse4"
"7","Northwest Forest Plan - Key Watersheds","Riparian & floodplain protection",29467.9979,0.42,18310.5593231209,"chartreuse4"
"8","Watershed Protection Areas","Riparian & floodplain protection",3339.06706,0.05,2074.79943813926,"chartreuse4"
"9","Riparian, Floodplain, Wetland Protection Areas","Riparian & floodplain protection",2886.09638,0.04,1793.33659373698,"chartreuse4"
"10","Fishing Management Areas","Riparian & floodplain protection",12.23838,0,7.60457441898,"chartreuse4"
"11","Critical Habitat (ESA)","Policies that focus on endangered species",93074.71705,1.32,57833.9300080755,"#c06c84"
"12","Wilderness Area","Incidental protected areas (strict)",446800.78101,6.34,277629.048096965,"#fa8072"
"13","National Park","Incidental protected areas (strict)",207856.19292,2.95,129155.810450893,"#fa8072"
"14","Wilderness Study Area","Incidental protected areas (strict)",69064.05377,0.98,42914.4001551187,"#fa8072"
"15","Research Natural Area","Incidental protected areas (strict)",9881.24954,0.14,6139.92190791934,"#fa8072"
"16","State Wilderness","Incidental protected areas (strict)",7095.76162,0.1,4409.10049358102,"#fa8072"
"17","National Wildlife Refuge","Incidental protected areas",427719.15398,6.07,265772.278427707,"#fcae91"
"18","Conservation Area","Incidental protected areas",134847.42571,1.91,83790.2797608484,"#fcae91"
"19","State Conservation Area","Incidental protected areas",89077.44097,1.26,55350.1385729699,"#fcae91"
"20","National Monument","Incidental protected areas",48015.35106,0.68,29835.3467035033,"#fcae91"
"21","Conservation Easement","Incidental protected areas",38419.99257,0.55,23873.0692032135,"#fcae91"
"22","Private Conservation","Incidental protected areas",14940.55678,0.21,9283.62870694538,"#fcae91"
"23","State Park","Incidental protected areas",14131.58197,0.2,8780.95522028087,"#fcae91"
"24","Local Conservation Area","Incidental protected areas",7892.11906,0.11,4903.93391243126,"#fcae91"
"25","Historic Or Cultural Area","Incidental protected areas",5530.12208,0.08,3436.25748697168,"#fcae91"
"26","National Recreation Area","Incidental protected areas",4580.71539,0.07,2846.32370259969,"#fcae91"
"27","State Resource Management Area","Incidental protected areas",3197.66956,0.05,1986.93913216676,"#fcae91"
"28","State Recreation Area","Incidental protected areas",2269.74684,0.03,1410.35486371764,"#fcae91"
"29","Local Park","Incidental protected areas",645.86504,0.01,401.32180576984,"#fcae91"
"30","Other","Incidental protected areas",567.9173,0.01,352.8873406183,"#fcae91"
"31","Private Recreation Or Education","Incidental protected areas",792.009,0.01,492.131424339,"#fcae91"
"32","Recreation Management Area","Incidental protected areas",916.12614,0.01,569.25421573794,"#fcae91"
"33","Resource Management Area","Incidental protected areas",993.09641,0.01,617.08130937811,"#fcae91"
"34","National Lakeshore Or Seashore","Incidental protected areas",227.87885,0,141.59730890335,"#fcae91"
"35","Research Or Educational Area","Incidental protected areas",164.1741,0,102.0130246911,"#fcae91"
